City,Country,Cloudiness,Date,Humidity,Lat,Lng,Max Temp,Wind Speed,Latitude,Longitude,Max Temperature
albany,au,92,1531693642,91,,,,10.21,-35.02,117.88,14.14
yar-sale,ru,8,1531693643,78,,,,1.16,66.83,70.83,13.04
bluff,nz,64,1531693643,88,,,,6.06,-46.6,168.33,11.09
tura,ru,0,1531693643,62,,,,2.86,64.27,100.22,10.19
bengkulu,id,,,,,,,,,,
upernavik,gl,80,1531693643,98,,,,5.36,72.79,-56.15,3.04
kloulklubed,pw,90,1531691460,83,,,,4.6,7.04,134.26,27.0
kaitangata,nz,76,1531693643,83,,,,6.46,-46.28,169.85,8.89
hobart,au,75,1531692000,80,,,,4.1,-42.88,147.33,5.0
barentsburg,sj,,,,,,,,,,
yellowknife,ca,20,1531692000,62,,,,5.7,62.45,-114.38,15.0
nizhneyansk,ru,,,,,,,,,,
lorengau,pg,88,1531693644,100,,,,2.86,-2.02,147.27,27.09
port alfred,za,12,1531693644,100,,,,3.76,-33.59,26.89,12.89
east london,za,24,1531693634,100,,,,3.06,-33.02,27.91,15.04
santa rita,py,0,1531692000,61,,,,3.1,-25.8,-55.09,26.0
hilo,us,75,1531691760,74,,,,3.1,19.71,-155.08,27.0
attawapiskat,ca,,,,,,,,,,
chokurdakh,ru,44,1531693645,87,,,,3.86,70.62,147.9,10.84
mataura,pf,,,,,,,,,,
vaini,to,40,1531692000,83,,,,4.6,-21.2,-175.2,26.0
bratsk,ru,32,1531692000,87,,,,3,56.15,101.63,9.0
iquique,cl,75,1531692000,77,,,,3.1,-20.22,-70.14,16.0
mananjary,mg,0,1531693645,69,,,,2.01,-19.16,46.8,7.84
lagoa,pt,0,1531692000,88,,,,4.6,37.14,-8.45,19.0
yerofey pavlovich,ru,0,1531693646,90,,,,1.06,53.97,121.97,12.99
hermanus,za,0,1531693646,69,,,,3.06,-34.42,19.24,7.24
zhigansk,ru,0,1531693646,55,,,,5.16,66.77,123.37,12.54
tsihombe,mg,,,,,,,,,,
fukagawa,jp,75,1531690800,93,,,,1,43.72,142.05,17.0
verkhnevilyuysk,ru,80,1531693646,51,,,,2.86,63.45,120.31,14.09
bredasdorp,za,0,1531692000,81,,,,2.6,-34.53,20.04,11.0
santiago de cuba,cu,20,1531691760,62,,,,3.1,20.03,-75.83,31.0
juifang,tw,,,,,,,,,,
saint-philippe,re,20,1531692000,59,,,,3.1,-21.36,55.77,18.0
